河北,198091
山西,163691
黑龙江,119116
吉林,90567
辽宁,115148
江苏,205447
浙江,220978
安徽,386581
福建,108634
江西,102093
山东,324319
河南,332123
湖北,217966
湖南,190281
广东,376587
海南,39534
四川,265558
贵州,176843
云南,109332
陕西,164403
甘肃,108593
青海,21302
台湾,NULL
内蒙古,102775
广西,165459
西藏,NULL
宁夏,42387
新疆,51174
北京,36808
天津,43250
上海,18843
重庆,115721
香港,NULL
澳门,NULL
