120203K,会计学,86568
050201,英语,82535
620203,会计,78128
080901,计算机科学与技术,66463
081001,土木工程,66319
120204,财务管理,64951
080601,电气工程及其自动化,61506
030101K,法学,59041
630201,护理,57507
020401,国际经济与贸易,54814
